name,approach,total_real_time[ms]_Average,sum_kernel_times[ms]_Average,total_device_energy[j]_Average,sum_kernel_energy[j]_Average,total_real_time[ms]_Stdev,sum_kernel_times[ms]_Stdev,total_device_energy[j]_Stdev,sum_kernel_energy[j]_Stdev,total_real_time[ms]_Min,sum_kernel_times[ms]_Min,total_device_energy[j]_Min,sum_kernel_energy[j]_Min,total_real_time[ms]_Max,sum_kernel_times[ms]_Max,total_device_energy[j]_Max,sum_kernel_energy[j]_Max,total_real_time[ms]_Median,sum_kernel_times[ms]_Median,total_device_energy[j]_Median,sum_kernel_energy[j]_Median
srad,app,637.8336,78.17952,29.223000000000003,23.026,5.425733520916779,0.24283827869592442,0.4604410928663866,0.38315010113531045,629.0100000000001,77.77279999999999,28.80000000000001,22.54500000000001,646.1400000000001,78.45190000000001,30.019999999999992,23.57,637.973,78.2101,28.985000000000014,23.185
srad,kernel,716.7320000000001,83.9098,33.672000000000004,24.719000000000005,8.483883073215853,0.053781818489155045,0.6748525764935661,0.6924839348317087,704.307,83.823,32.5,23.62,729.454,83.97370000000001,34.55000000000001,25.67500000000001,714.0130000000003,83.93359999999998,33.865,24.66
srad,phase,641.7151999999999,60.09853999999999,36.266,29.083000000000006,3.5277617493249243,0.3312724232410557,1.1650339050860312,0.834521419737086,636.2579999999999,59.8361,34.889999999999986,28.104999999999997,645.1360000000001,60.7468,38.43,30.6,644.049,59.98299999999998,36.01,29.009999999999998
mnist,app,2185.16,74.2299,112.27199999999998,94.961,277.42445335622443,1.1462758742990278,10.93059129233181,11.456130411268898,1975.2400000000002,72.70920000000001,103.73,86.44000000000001,2720.81,75.89189999999999,133.29,117.23,2071.5800000000004,73.7831,107.81999999999994,90.26
mnist,kernel,2917.594,108.76480000000001,128.682,98.78299999999999,257.1805388127182,0.9176067567318829,10.943663280638717,13.637720703988611,2471.2099999999996,107.501,109.55999999999997,74.21500000000003,3209.8,109.97799999999998,141.67499999999998,113.16499999999999,3036.81,109.029,132.99000000000004,104.58999999999999
mnist,phase,2178.392,79.57186,105.77900000000002,88.20800000000001,113.83585856837917,0.9924343214540662,4.736192985932896,4.8132801705281985,2004.2999999999997,78.09450000000001,98.07500000000002,80.62000000000002,2336.25,80.97950000000002,111.90000000000002,94.92,2177.0299999999997,79.74680000000001,107.60999999999999,89.84000000000003
ace,app,189.4516,171.032,38.261,18.654,4.073129833432738,0.15856607455569158,1.24873295784167,0.46961047688483226,182.69900000000004,170.739,36.199999999999996,18.13,192.68799999999996,171.173,39.865,19.474999999999998,192.47599999999997,171.06299999999996,38.275,18.45
ace,kernel,158.9018,143.20260000000002,37.856,18.936,4.910434172249929,0.32624751340048097,1.76747673252012,0.9984808460856922,153.58400000000003,142.75,35.185,17.400000000000002,167.44499999999996,143.56999999999996,40.0,20.085000000000004,159.388,143.328,37.65,18.875
ace,phase,154.51,137.92860000000002,36.763000000000005,20.179000000000002,2.5152678584993704,0.2082638710866582,0.8313278534970456,0.735346176980611,152.35799999999998,137.525,35.449999999999996,18.785,157.679,138.12,37.895,20.805000000000003,152.53,138.00700000000003,36.615,20.484999999999996
aop,app,3522.746,1741.6799999999998,12840.56,102.66399999999999,89.5952035769773,0.40094887454623124,14.731001323739797,0.8860327307723915,3409.39,1741.0599999999995,12820.0,101.46000000000002,3603.869999999999,1742.1199999999992,12859.6,104.17499999999998,3582.4199999999987,1741.6900000000005,12845.699999999997,102.52999999999997
aop,kernel,2681.122,1146.7859999999996,10215.3,74.58900000000001,92.18186598241488,0.7379593484739884,4.61085675335761,2.4868984699822483,2527.040000000001,1146.0899999999997,10208.300000000003,72.14500000000001,2797.959999999999,1148.22,10222.199999999997,79.34500000000003,2717.28,1146.53,10215.4,73.74499999999999
aop,phase,2473.7239999999993,778.2810000000001,8977.672,82.218,25.590168893541634,0.5704685793275551,17.159288330231153,1.8969122278060078,2437.4,777.2810000000001,8950.01,79.26500000000001,2509.619999999999,778.9060000000001,8996.060000000001,84.28499999999997,2469.5499999999993,778.5,8974.65,82.185
