name,approach,time[ms]_Average,device_energy[j]_Average,host_energy[j]_Average,time[ms]_Stdev,device_energy[j]_Stdev,host_energy[j]_Stdev,time[ms]_Min,device_energy[j]_Min,host_energy[j]_Min,time[ms]_Max,device_energy[j]_Max,host_energy[j]_Max,time[ms]_Median,device_energy[j]_Median,host_energy[j]_Median
srad,app,105068.0,3844.902,11251.24,220.68257747271304,49.965739221990844,20.23685746354875,104741.0,3747.32,11235.5,105409.0,3881.15,11290.8,105059.0,3872.65,11244.6
srad,kernel,58026.0,2449.844,6201.132,648.7116462651184,28.422922861662254,61.81207629581777,57445.0,2406.43,6133.32,58842.0,2482.86,6290.36,57606.0,2447.15,6178.61
srad,phase,56268.0,2376.138,6018.716,351.23951941659413,17.007858654163485,35.80617242878663,55708.0,2352.22,5959.51,56701.0,2403.55,6060.09,56201.0,2374.31,6019.72
ace,app,2606.6,114.29399999999998,366.8522,3.3823069050575527,4.252958170497329,15.578472086825457,2603.0,110.881,355.93,2612.0,122.66,397.647,2607.0,112.9,360.257
ace,kernel,933.4,64.412,181.119,21.52765663048349,0.4560219292972661,1.855187106466624,910.0,63.699,178.452,973.0,64.891,183.75,929.0,64.595,181.114
ace,phase,846.6,61.531000000000006,170.2626,5.314132102234569,0.4633478175194086,1.4434914062785429,840.0,60.896,168.345,854.0,62.254,172.401,849.0,61.573,169.704
metropolis,app,2278.4,87.8982,243.6836,14.150618361046984,0.5222391789209261,1.017424709745144,2253.0,86.901,242.044,2293.0,88.403,245.255,2280.0,88.015,243.713
metropolis,kernel,1761.2,74.41080000000001,188.61060000000003,16.868906307167634,0.6661292367101158,3.091158980059096,1737.0,73.298,185.436,1780.0,75.391,194.144,1759.0,74.443,188.089
metropolis,phase,1131.2,55.6936,121.8152,12.023310692151307,0.5418186412444674,1.260455854046464,1120.0,55.12,120.375,1154.0,56.637,124.027,1125.0,55.424,121.875
aop,app,397.4,48.38100000000001,170.5502,14.513442045221389,0.3423419343288217,1.077497916471304,370.0,47.932,169.128,412.0,48.9,172.028,403.0,48.301,170.478
aop,kernel,760.4,58.790200000000006,207.7712,30.51294807126968,1.0120245846816172,3.4340369479666344,703.0,56.834,201.333,789.0,59.654,210.767,769.0,59.279,209.7
aop,phase,212.4,42.8062,152.33320000000003,6.590902821313632,0.2932203267169599,1.311019969336856,204.0,42.235,149.821,220.0,43.017,153.436,216.0,42.968,152.752
mnist,app,290098.4,10.6852,31.206200000000003,10502.260015825166,0.320857850145512,1.021217336319747,283047.0,10.424,30.3069,310960.0,11.244,32.964,285809.0,10.464,30.5461
mnist,kernel,12423360.0,402.6272,1277.6699999999998,215457.78797713487,7.081202423317667,19.04951652929807,12140300.0,395.354,1262.82,12777700.0,415.849,1314.26,12401600.0,401.804,1271.9
mnist,phase,286413.2,10.2878,30.93186,2558.007928056518,0.1158505934382727,0.9666053891842312,283040.0,10.171,30.0163,289343.0,10.482,32.7652,286732.0,10.239,30.6054
